Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 12:45:40.587,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.047,0.064,0.994,2.747,-4.15,1.709, , , , , , ,3.565,1.225,-111.709
 12:45:40.587,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.043,0.064,0.991,2.625,-4.944,1.77, , , , , , ,3.576,1.203,-111.703
 12:45:40.587,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.04,0.063,0.995,2.808,-5.432,1.831, , , , , , ,3.593,1.176,-111.698
 12:45:40.587,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.041,0.063,0.998,2.869,-5.554,1.831, , , , , , ,3.604,1.148,-111.687
 12:45:40.588,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.041,0.063,0.997,2.991,-5.737,1.831, , , , , , ,3.62,1.121,-111.682
 12:45:40.588,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.039,0.063,0.997,3.113,-5.92,1.831, , , , , , ,3.636,1.088,-111.671
 12:45:40.588,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.037,0.066,0.996,3.174,-6.165,1.77, , , , , , ,3.647,1.06,-111.665
 12:45:40.588,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.035,0.066,0.996,3.174,-6.226,1.648, , , , , , ,3.664,1.027,-111.66
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.033,0.066,0.997,3.235,-6.287,1.648, , , , , , ,3.68,0.994,-111.654
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.032,0.066,1,3.235,-6.104,1.526, , , , , , ,3.697,0.961,-111.649
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.035,0.068,0.998,3.235,-6.042,1.404, , , , , , ,3.713,0.934,-111.643
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.033,0.069,0.994,3.174,-6.348,1.404, , , , , , ,3.73,0.901,-111.638
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.029,0.071,0.995,3.174,-6.531,1.404, , , , , , ,3.741,0.868,-111.632
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.026,0.069,0.999,3.052,-6.348,1.16, , , , , , ,3.757,0.835,-111.627
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.025,0.069,1,2.991,-5.981,0.916, , , , , , ,3.774,0.802,-111.627
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.029,0.07,0.999,2.991,-5.554,0.854, , , , , , ,3.785,0.775,-111.621
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.028,0.071,0.996,2.991,-5.432,0.61, , , , , , ,3.801,0.747,-111.621
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.025,0.072,0.997,2.869,-5.188,0.488, , , , , , ,3.812,0.72,-111.621
 12:45:40.590,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.023,0.071,0.999,2.808,-4.761,0.366, , , , , , ,3.829,0.692,-111.621
 12:45:40.591,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.023,0.07,0.999,2.747,-4.272,0.244, , , , , , ,3.84,0.67,-111.621
 12:45:40.591,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.023,0.072,1,2.625,-3.784,0, , , , , , ,3.856,0.648,-111.621
 12:45:40.591,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.024,0.074,0.999,2.502,-3.296,-0.122, , , , , , ,3.867,0.632,-111.621
 12:45:40.591,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.023,0.074,0.998,2.38,-2.869,-0.244, , , , , , ,3.878,0.621,-111.627
 12:45:40.591,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.018,0.074,0.999,2.197,-2.441,-0.366, , , , , , ,3.889,0.604,-111.627
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.017,0.076,1.001,2.075,-1.587,-0.488, , , , , , ,3.9,0.593,-111.632
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.02,0.076,1.003,1.831,-0.549,-0.854, , , , , , ,3.906,0.593,-111.632
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.021,0.076,1,1.648,0.244,-1.038, , , , , , ,3.917,0.588,-111.638
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.021,0.074,1,1.526,0.916,-0.977, , , , , , ,3.922,0.593,-111.643
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.019,0.076,1,1.404,1.526,-1.16, , , , , , ,3.928,0.599,-111.649
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.017,0.076,1.001,1.16,2.319,-1.282, , , , , , ,3.933,0.61,-111.654
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.021,0.076,1.003,0.977,3.418,-1.404, , , , , , ,3.939,0.626,-111.66
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.026,0.073,1.001,0.916,4.272,-1.526, , , , , , ,3.944,0.648,-111.671
 12:45:40.656,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.028,0.071,1,0.916,4.761,-1.526, , , , , , ,3.944,0.67,-111.676
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.027,0.071,0.999,0.916,5.005,-1.465, , , , , , ,3.95,0.698,-111.682
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.029,0.07,1.001,0.916,5.371,-1.343, , , , , , ,3.955,0.725,-111.687
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.031,0.068,1.002,1.16,5.798,-1.343, , , , , , ,3.961,0.753,-111.693
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.034,0.067,1.001,1.404,6.042,-1.16, , , , , , ,3.966,0.78,-111.693
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.039,0.068,1,1.587,6.226,-0.977, , , , , , ,3.972,0.813,-111.698
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.043,0.066,0.999,1.831,6.165,-0.732, , , , , , ,3.977,0.846,-111.703
 12:45:40.657,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.042,0.063,0.997,2.197,5.615,-0.244, , , , , , ,3.988,0.873,-111.703
 12:45:40.722,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.041,0.066,0.997,2.563,5.066,0.122, , , , , , ,3.999,0.901,-111.698
 12:45:40.722,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.041,0.067,0.998,2.747,4.822,0.427, , , , , , ,4.016,0.923,-111.698
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.045,0.067,0.997,3.052,4.456,0.732, , , , , , ,4.026,0.95,-111.693
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.046,0.067,0.994,3.296,3.906,1.099, , , , , , ,4.043,0.967,-111.687
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.043,0.066,0.994,3.54,3.296,1.465, , , , , , ,4.059,0.983,-111.676
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.039,0.067,0.996,3.784,2.869,1.831, , , , , , ,4.076,1,-111.671
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.038,0.068,1,4.089,2.869,2.136, , , , , , ,4.098,1.016,-111.66
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.04,0.07,0.999,4.395,2.869,2.319, , , , , , ,4.12,1.027,-111.643
 12:45:40.724,eb:33:2e:f9:57:b5, 2015-01-01 00:31:45.935,-0.038,0.069,0.999,4.639,2.869,2.686, , , , , , ,4.142,1.038,-111.632
