Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 13:20:26.598,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.003,-0.06,1.134,-16.235,9.338,-23.254, , , , , , ,-0.566,2.983,-130.479
 13:20:26.598,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.092,-0.042,1.134,-16.174,15.076,-20.935, , , , , , ,-0.654,3.054,-130.589
 13:20:26.598,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.116,-0.048,1.052,-15.198,12.817,-20.325, , , , , , ,-0.736,3.12,-130.688
 13:20:26.598,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.109,-0.063,1.038,-13.245,10.62,-19.592, , , , , , ,-0.813,3.175,-130.787
 13:20:26.598,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.1,-0.083,1.016,-10.864,6.287,-17.822, , , , , , ,-0.879,3.219,-130.88
 13:20:26.599,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.067,-0.077,1.017,-8.606,0.854,-16.235, , , , , , ,-0.934,3.23,-130.968
 13:20:26.599,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.064,-0.067,1.056,-6.958,-0.61,-14.771, , , , , , ,-0.972,3.23,-131.039
 13:20:26.599,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.042,-0.062,1.06,-5.127,-1.709,-13.855, , , , , , ,-1.011,3.219,-131.111
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.023,-0.065,1.068,-3.357,-1.404,-12.695, , , , , , ,-1.033,3.214,-131.177
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.015,-0.046,1.083,-2.075,0.488,-12.512, , , , , , ,-1.049,3.208,-131.237
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.01,-0.039,1.122,-0.732,5.798,-11.658, , , , , , ,-1.06,3.23,-131.298
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.022,-0.03,1.138,0.977,10.376,-11.78, , , , , , ,-1.06,3.274,-131.358
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.043,-0.046,1.117,2.258,14.771,-11.414, , , , , , ,-1.06,3.34,-131.418
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.021,-0.04,1.17,3.174,21.851,-10.071, , , , , , ,-1.049,3.439,-131.479
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.042,-0.041,1.146,4.272,27.588,-9.338, , , , , , ,-1.033,3.56,-131.528
 13:20:26.644,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.066,0,1.104,5.859,27.954,-7.996, , , , , , ,-1.011,3.702,-131.572
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.021,0.009,1.217,5.371,41.443,-10.071, , , , , , ,-0.983,3.884,-131.627
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.042,-0.022,1.11,6.165,43.152,-8.484, , , , , , ,-0.961,4.098,-131.677
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.049,-0.021,1.148,5.798,51.025,-7.263, , , , , , ,-0.934,4.34,-131.715
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.193,-0.047,1.232,14.038,46.448,-6.714, , , , , , ,-0.89,4.581,-131.754
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.067,-0.096,1.511,25.024,62.927,-6.836, , , , , , ,-0.791,4.861,-131.797
 13:20:26.666,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.184,-0.126,1.379,34.241,64.941,-5.127, , , , , , ,-0.637,5.186,-131.83
 13:20:26.667,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.24,-0.098,1.494,44.312,77.515,-5.981, , , , , , ,-0.445,5.548,-131.863
 13:20:26.667,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.297,0.04,1.524,53.589,87.402,-8.85, , , , , , ,-0.198,5.96,-131.902
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.351,0.052,1.594,61.707,99.304,-14.832, , , , , , ,0.082,6.432,-131.968
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.552,-0.004,1.684,74.585,112.61,-16.907, , , , , , ,0.417,6.965,-132.05
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.867,-0.012,2.117,101.746,132.935,-20.081, , , , , , ,0.857,7.603,-132.127
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.827,0.053,2.583,118.164,176.27,-42.419, , , , , , ,1.401,8.405,-132.275
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.689,0.314,2.023,131.409,200.134,-75.5, , , , , , ,1.994,9.338,-132.572
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.958,-0.049,2.468,126.282,261.108,-81.787, , , , , , ,2.576,10.536,-132.929
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.835,0.459,1.14,117.615,288.086,-99.304, , , , , , ,3.109,11.97,-133.319
 13:20:26.735,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.285,0.958,-0.419,102.905,253.052,-126.404, , , , , , ,3.527,13.37,-133.835
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.261,0.699,-0.422,86.304,223.572,-151.184, , , , , , ,3.84,14.584,-134.5
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.064,0.367,-0.863,66.711,188.782,-149.109, , , , , , ,4.01,15.705,-135.22
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.539,-0.189,-0.397,41.626,179.443,-144.165, , , , , , ,4.07,16.633,-135.934
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.625,-0.674,-0.151,13.733,194.397,-117.065, , , , , , ,4.021,17.633,-136.527
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.571,-0.58,-0.703,-10.071,191.589,-92.346, , , , , , ,3.873,18.638,-136.994
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.801,-0.493,-1.251,-29.968,165.588,-66.895, , , , , , ,3.647,19.561,-137.335
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.89,-0.352,-1.679,-50.781,110.413,-51.453, , , , , , ,3.345,20.237,-137.593
 13:20:26.756,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.959,-0.49,-1.315,-71.045,54.565,-29.236, , , , , , ,2.961,20.66,-137.774
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.534,-0.471,-1.513,-78.552,-45.776,-7.751, , , , , , ,2.549,20.654,-137.867
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-1.133,-0.374,-1.41,-84.412,-157.959,16.357, , , , , , ,2.137,20.121,-137.856
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.844,-0.323,-0.219,-90.759,-226.685,35.706, , , , , , ,1.719,19.094,-137.758
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,-0.414,-0.105,-0.162,-97.046,-317.444,39.246, , , , , , ,1.302,17.693,-137.582
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.536,-0.211,1.085,-89.539,-365.051,47.729, , , , , , ,0.89,15.892,-137.368
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,0.39,-0.211,3.911,-102.051,-236.023,49.866, , , , , , ,0.489,14.387,-137.137
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,1.121,0.234,2.825,-80.933,-208.313,21.423, , , , , , ,0.099,13.228,-136.939
 13:20:26.803,eb:33:2e:f9:57:b5, 2015-01-01 01:04:53.925,1.049,0.249,2.969,-73.853,-108.154,16.479, , , , , , ,-0.264,12.535,-136.813
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.716,0.206,2.809,-62.439,-32.593,3.357, , , , , , ,-0.593,12.217,-136.769
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.492,0.015,2.383,-48.279,16.602,-1.648, , , , , , ,-0.862,12.217,-136.769
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.194,-0.124,2.161,-31.433,46.997,-2.991, , , , , , ,-1.06,12.398,-136.78
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.113,-0.188,1.802,-13.245,58.838,-2.625, , , , , , ,-1.165,12.673,-136.802
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.294,-0.257,1.401,5.066,49.438,-1.892, , , , , , ,-1.181,12.947,-136.818
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.393,-0.277,1.167,21.973,30.762,0.183, , , , , , ,-1.104,13.14,-136.829
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.391,-0.245,1.085,37.964,10.376,2.014, , , , , , ,-0.945,13.233,-136.813
 13:20:26.846,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.31,-0.235,1.128,53.528,-8.606,5.066, , , , , , ,-0.703,13.222,-136.796
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.244,-0.156,1.225,68.359,-24.658,8.85, , , , , , ,-0.385,13.129,-136.758
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.057,-0.124,1.39,79.285,-31.494,12.207, , , , , , ,0,12.986,-136.703
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.054,-0.104,1.846,91.003,-18.25,11.169, , , , , , ,0.445,12.854,-136.642
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.061,-0.201,2.348,103.577,17.944,18.005, , , , , , ,0.945,12.887,-136.571
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.068,-0.119,2.166,111.206,44.678,19.226, , , , , , ,1.511,13.063,-136.472
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.016,-0.101,2.281,118.286,75.745,21.057, , , , , , ,2.115,13.359,-136.357
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,-0.433,-0.242,2.46,132.019,106.628,31.738, , , , , , ,2.785,13.837,-136.181
 13:20:26.868,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.109,-0.731,3.358,133.728,178.589,49.927, , , , , , ,3.521,14.557,-135.934
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.085,0.036,1.611,149.109,184.326,55.847, , , , , , ,4.318,15.502,-135.549
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.07,0.105,1.265,173.462,136.475,43.091, , , , , , ,5.224,16.249,-135.231
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.032,0.233,1.585,197.388,93.506,29.785, , , , , , ,6.235,16.787,-134.973
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.082,-0.011,2.133,214.661,80.933,18.799, , , , , , ,7.322,17.194,-134.797
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.209,-0.248,2.672,227.6,99.121,15.198, , , , , , ,8.481,17.622,-134.654
 13:20:26.913,eb:33:2e:f9:57:b5, 2015-01-01 01:04:54.260,0.488,-0.226,2.768,238.647,124.573,9.949, , , , , , ,9.701,18.182,-134.5
