Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 13:10:12.894,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.015,0.013,0.997,-0.061,0.366,-0.061, , , , , , ,0.857,0.56,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.018,0.012,0.997,0,0.244,0, , , , , , ,0.857,0.56,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.011,0.012,0.995,0,0,0, , , , , , ,0.857,0.56,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.014,0.015,0.999,0,0.122,0, , , , , , ,0.857,0.56,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.014,0.013,0.997,0,0.122,0, , , , , , ,0.857,0.56,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.016,0.013,0.999,-0.061,0.122,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.018,0.013,0.998,0,0.061,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.895,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.016,0.012,0.999,0,0,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.016,0.012,0.999,0,-0.061,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.016,0.012,0.998,0,-0.061,0.061, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.017,0.012,0.997,0.061,-0.244,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.016,0.012,0.996,0.122,-0.366,0, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.015,0.013,0.996,0.183,-0.549,0.061, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.013,0.013,0.996,0.122,-0.61,0.061, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.012,0.013,0.996,0.122,-0.61,0.061, , , , , , ,0.857,0.566,-105.952
 13:10:12.938,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.011,0.014,0.996,0.122,-0.549,0.122, , , , , , ,0.857,0.566,-105.952
 13:10:12.984,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.011,0.014,0.996,0.061,-0.427,0.122, , , , , , ,0.857,0.566,-105.952
 13:10:12.984,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.012,0.015,0.996,0.061,-0.305,0.122, , , , , , ,0.857,0.566,-105.952
 13:10:12.984,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.012,0.016,0.994,0,-0.183,0.061, , , , , , ,0.857,0.566,-105.952
 13:10:12.984,eb:33:2e:f9:57:b5, 2015-01-01 00:54:44.720,-0.012,0.015,0.995,0,-0.122,0.183, , , , , , ,0.857,0.566,-105.952
