Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:41:37.958,eb:33:2e:f9:57:b5, 2085-97-252 255:36:00:2042,-0.001,0.017,0.997,0,-0.122,-0.061,0.945,0.341,-132.039,-51.8,-40.2,-3.46,26.84,0.40561,0.00616,-0.00626,-0.91394
 13:41:37.959,eb:33:2e:f9:57:b5, 2085-97-250 255:35:00:2039,-0.001,0.018,0.997,0,-0.122,-0.061,0.945,0.335,-132.039,-51.8,-40.2,-3.46,26.84,0.40561,0.00616,-0.00626,-0.91394
 13:41:37.959,eb:33:2e:f9:57:b5, 2085-97-254 255:34:00:2039,-0.003,0.017,0.997,-0.061,-0.183,-0.061,0.945,0.335,-132.028,-51.8,-40.2,-3.46,26.84,0.40561,0.00616,-0.00626,-0.91394
 13:41:37.959,eb:33:2e:f9:57:b5, 2085-97-250 255:35:00:2038,-0.002,0.017,0.995,-0.122,-0.183,-0.122,0.945,0.335,-132.028,-51.8,-40.2,-3.46,26.84,0.40561,0.00616,-0.00626,-0.91394
 13:41:37.988,eb:33:2e:f9:57:b5, 2085-97-253 255:32:00:2043,-0.001,0.016,0.997,-0.061,-0.305,-0.061,0.945,0.335,-132.023,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:37.988,eb:33:2e:f9:57:b5, 2085-97-253 255:32:00:2044,-0.001,0.016,0.998,-0.061,-0.244,-0.061,0.945,0.335,-132.023,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:37.988,eb:33:2e:f9:57:b5, 2085-97-00 00:33:00:2046,0.001,0.016,0.998,0,-0.183,0,0.945,0.335,-132.017,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:37.988,eb:33:2e:f9:57:b5, 2085-97-00 00:33:00:2046,0.001,0.017,0.999,0,-0.061,0,0.945,0.335,-132.017,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.018,eb:33:2e:f9:57:b5, 2085-97-00 00:35:00:2040,-0.001,0.017,0.999,0,0.061,0,0.945,0.335,-132.012,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.018,eb:33:2e:f9:57:b5, 2085-97-248 255:37:00:2034,-0.004,0.019,0.995,0,0.061,0,0.945,0.33,-132.012,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.018,eb:33:2e:f9:57:b5, 2085-97-246 255:34:00:2034,-0.003,0.017,0.993,-0.061,-0.061,-0.061,0.945,0.33,-132.001,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.018,eb:33:2e:f9:57:b5, 2085-97-00 00:35:00:2041,-0.002,0.017,0.994,0,-0.305,-0.061,0.945,0.33,-132.001,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.076,eb:33:2e:f9:57:b5, 2085-97-252 255:33:00:2039,-0.003,0.016,0.996,0,-0.244,0,0.945,0.33,-131.995,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.076,eb:33:2e:f9:57:b5, 2085-97-253 255:34:00:2040,-0.002,0.016,0.995,-0.061,-0.305,0,0.945,0.33,-131.995,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.076,eb:33:2e:f9:57:b5, 2085-97-253 255:33:00:2043,-0.001,0.016,0.998,-0.061,-0.305,0,0.945,0.33,-131.99,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.076,eb:33:2e:f9:57:b5, 2085-97-00 00:33:00:2042,0,0.017,0.998,-0.061,-0.244,0,0.945,0.33,-131.99,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.106,eb:33:2e:f9:57:b5, 2085-97-01 00:36:00:2042,0,0.017,0.997,0,-0.183,0.061,0.945,0.33,-131.984,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.106,eb:33:2e:f9:57:b5, 2085-97-01 00:33:00:2042,0.001,0.017,0.997,-0.061,-0.122,0.061,0.945,0.324,-131.984,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.106,eb:33:2e:f9:57:b5, 2085-97-01 00:35:00:2043,0,0.016,0.998,-0.061,0,0,0.945,0.324,-131.973,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.107,eb:33:2e:f9:57:b5, 2085-97-254 255:34:00:2042,0,0.018,0.998,0,0,0,0.95,0.324,-131.973,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.137,eb:33:2e:f9:57:b5, 2085-97-254 255:36:00:2038,-0.001,0.017,0.996,-0.061,0,0,0.95,0.324,-131.968,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.137,eb:33:2e:f9:57:b5, 2085-97-250 255:34:00:2038,-0.002,0.017,0.996,-0.061,0,0,0.95,0.324,-131.968,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.137,eb:33:2e:f9:57:b5, 2085-97-251 255:34:00:2038,-0.001,0.018,0.997,0,-0.122,0,0.95,0.324,-131.962,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.137,eb:33:2e:f9:57:b5, 2085-97-00 00:33:00:2042,-0.003,0.016,0.997,0,-0.244,0,0.95,0.324,-131.962,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.227,eb:33:2e:f9:57:b5, 2085-97-253 255:35:00:2040,-0.003,0.016,0.995,0,-0.244,0,0.95,0.324,-131.957,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.228,eb:33:2e:f9:57:b5, 2085-113-58 00:197:224:-6165,0,0.016,0.995,-0.061,-0.305,0,0.95,0.319,-131.957,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.228,eb:33:2e:f9:57:b5, 2085-97-253 255:32:00:2040,-0.001,0.017,0.998,0,-0.244,-0.061,0.95,0.319,-131.946,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.228,eb:33:2e:f9:57:b5, 2085-97-01 00:32:00:2046,0,0.015,0.998,0,-0.244,0,0.95,0.319,-131.946,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.229,eb:33:2e:f9:57:b5, 2085-97-01 00:34:00:2044,0,0.017,0.999,0.061,-0.061,0,0.95,0.319,-131.94,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.229,eb:33:2e:f9:57:b5, 2085-97-255 255:35:00:2040,-0.001,0.016,0.997,0,0,0,0.95,0.319,-131.94,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.229,eb:33:2e:f9:57:b5, 2085-97-253 255:36:00:2036,-0.002,0.018,0.995,0.061,-0.061,0,0.95,0.319,-131.935,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.229,eb:33:2e:f9:57:b5, 2085-97-251 255:33:00:2039,-0.002,0.017,0.995,0,-0.122,0,0.95,0.319,-131.935,-51.8,-40.2,-3.46,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.258,eb:33:2e:f9:57:b5, 2085-97-253 255:34:00:2040,0,0.016,0.996,0,-0.183,0,0.95,0.319,-131.929,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.258,eb:33:2e:f9:57:b5, 2085-97-00 00:34:00:2042,0,0.017,0.997,0,-0.183,-0.061,0.95,0.313,-131.929,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.258,eb:33:2e:f9:57:b5, 2085-97-00 00:34:00:2041,-0.001,0.016,0.997,0,-0.183,0,0.95,0.313,-131.918,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.258,eb:33:2e:f9:57:b5, 2085-97-253 255:33:00:2039,0,0.016,0.996,0.061,-0.183,0,0.95,0.313,-131.918,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.317,eb:33:2e:f9:57:b5, 2085-97-255 255:35:00:2042,0,0.017,0.997,0.061,-0.244,0,0.95,0.313,-131.913,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.317,eb:33:2e:f9:57:b5, 2085-97-255 255:35:00:2043,0,0.017,0.997,0,-0.122,0,0.95,0.313,-131.913,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.317,eb:33:2e:f9:57:b5, 2085-97-00 00:34:00:2047,0.002,0.017,0.999,0.061,-0.061,0,0.95,0.313,-131.907,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.317,eb:33:2e:f9:57:b5, 2085-97-03 00:32:00:2047,0,0.016,1,0.061,0.061,0,0.95,0.308,-131.907,-53.3,-41.1,-1.107,26.84,0.4064,0.00607,-0.00635,-0.9136
 13:41:38.346,eb:33:2e:f9:57:b5, 2085-97-253 255:34:00:2042,-0.001,0.016,0.998,0.122,0.244,0.122,0.95,0.308,-131.902,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.346,eb:33:2e:f9:57:b5, 2085-97-254 255:33:00:2041,-0.001,0.017,0.997,0.122,0.305,0.061,0.95,0.308,-131.902,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.347,eb:33:2e:f9:57:b5, 2085-97-00 00:34:00:2043,0,0.016,0.997,0.122,0.244,0.122,0.95,0.308,-131.896,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.347,eb:33:2e:f9:57:b5, 2085-97-252 255:37:00:2038,-0.003,0.018,0.997,0.183,0.305,0.122,0.95,0.308,-131.896,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.376,eb:33:2e:f9:57:b5, 2085-97-251 255:33:00:2038,-0.001,0.017,0.995,0.122,0.183,0.061,0.95,0.308,-131.885,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.377,eb:33:2e:f9:57:b5, 2085-97-253 255:32:00:2043,0,0.016,0.997,0.122,0.122,0.122,0.95,0.308,-131.885,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.377,eb:33:2e:f9:57:b5, 2085-97-254 255:34:00:2043,-0.002,0.017,0.999,0.183,0.244,0.122,0.95,0.308,-131.88,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.377,eb:33:2e:f9:57:b5, 2085-97-251 255:33:00:2039,0,0.017,0.997,0.183,0.305,0.122,0.95,0.302,-131.88,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.436,eb:33:2e:f9:57:b5, 2085-97-00 00:30:00:2047,0,0.016,0.998,0.244,0.183,0.183,0.95,0.302,-131.874,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.436,eb:33:2e:f9:57:b5, 2085-97-00 00:32:00:2047,0,0.015,0.999,0.305,0.427,0.305,0.95,0.302,-131.874,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.436,eb:33:2e:f9:57:b5, 2085-97-01 00:35:00:2047,0,0.017,1,0.366,0.488,0.366,0.95,0.302,-131.869,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.436,eb:33:2e:f9:57:b5, 2085-97-255 255:32:00:2045,0,0.018,0.998,0.366,0.61,0.366,0.95,0.302,-131.869,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.468,eb:33:2e:f9:57:b5, 2085-97-00 00:35:00:2043,0,0.016,0.999,0.488,0.671,0.427,0.95,0.302,-131.863,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.468,eb:33:2e:f9:57:b5, 2085-97-248 255:37:00:2037,-0.006,0.02,0.997,0.427,0.793,0.427,0.95,0.302,-131.863,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.468,eb:33:2e:f9:57:b5, 2085-97-246 255:36:00:2034,-0.003,0.018,0.993,0.366,0.61,0.427,0.95,0.302,-131.852,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.468,eb:33:2e:f9:57:b5, 2085-97-248 255:36:00:2035,-0.003,0.018,0.994,0.305,0.488,0.305,0.95,0.297,-131.852,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.496,eb:33:2e:f9:57:b5, 2085-97-249 255:32:00:2035,-0.001,0.018,0.996,0.305,0.427,0.244,0.95,0.297,-131.847,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.496,eb:33:2e:f9:57:b5, 2085-97-247 255:34:00:2033,-0.002,0.019,0.999,0.305,0.427,0.305,0.95,0.297,-131.847,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.496,eb:33:2e:f9:57:b5, 2085-97-251 255:35:00:2041,-0.002,0.018,1,0.244,0.366,0.244,0.95,0.297,-131.841,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.496,eb:33:2e:f9:57:b5, 2085-97-00 00:34:00:2046,-0.002,0.015,0.997,0.305,0.366,0.244,0.95,0.297,-131.841,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.557,eb:33:2e:f9:57:b5, 2085-97-253 255:41:00:2044,-0.002,0.019,0.998,0.244,0.671,0.183,0.95,0.297,-131.836,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.557,eb:33:2e:f9:57:b5, 2085-97-249 255:33:00:2040,-0.002,0.018,0.998,0.244,0.732,0.122,0.95,0.297,-131.836,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.557,eb:33:2e:f9:57:b5, 2085-97-00 00:36:00:2045,-0.001,0.017,0.999,0.305,0.671,0.305,0.95,0.297,-131.83,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.557,eb:33:2e:f9:57:b5, 2085-97-253 255:35:00:2045,-0.002,0.017,0.998,0.366,0.854,0.244,0.95,0.297,-131.83,-53.3,-41.1,-1.107,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.586,eb:33:2e:f9:57:b5, 2085-97-252 255:39:00:2044,-0.003,0.019,0.998,0.366,0.977,0.366,0.95,0.297,-131.819,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.586,eb:33:2e:f9:57:b5, 2085-97-251 255:33:00:2044,-0.002,0.018,0.997,0.427,0.977,0.366,0.95,0.291,-131.819,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.586,eb:33:2e:f9:57:b5, 2085-97-250 255:39:00:2043,-0.004,0.019,0.999,0.427,1.221,0.549,0.95,0.291,-131.814,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.586,eb:33:2e:f9:57:b5, 2085-97-247 255:35:00:2040,-0.005,0.018,0.996,0.427,1.221,0.488,0.95,0.291,-131.814,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.617,eb:33:2e:f9:57:b5, 2085-97-245 255:34:00:2044,-0.003,0.018,0.997,0.549,1.16,0.549,0.95,0.291,-131.808,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
 13:41:38.617,eb:33:2e:f9:57:b5, 2085-97-246 255:35:00:2040,-0.006,0.017,0.998,0.549,1.221,0.61,0.95,0.291,-131.808,-53.3,-41.2,-1.913,26.84,0.40735,0.00586,-0.00644,-0.91318
