Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 14:26:20.821,eb:33:2e:f9:57:b5, 2085-97-130 01:46:01:1518,0.422,0.425,0.867,25.33,44.922,3.418,-6.531,8.146,-29.993
 14:26:20.822,eb:33:2e:f9:57:b5, 2085-97-25 03:251:255:3129,0.178,0.038,1.214,34.241,-1.099,-39.673,-6.29,8.289,-30.229
 14:26:20.822,eb:33:2e:f9:57:b5, 2085-97-230 00:83:255:1950,0.143,-0.003,1.239,60.791,-23.743,-77.698,-5.823,8.097,-30.822
 14:26:20.822,eb:33:2e:f9:57:b5, 2085-97-187 01:217:252:2357,0.215,-0.217,1.011,64.27,-37.292,-99.915,-5.24,7.625,-31.712
 14:26:20.826,eb:33:2e:f9:57:b5, 2085-97-160 01:181:251:2247,0.231,-0.458,1.173,61.157,-7.324,-106.689,-4.68,7.295,-32.717
 14:26:20.826,eb:33:2e:f9:57:b5, 2085-97-16 02:22:251:2382,0.297,-0.505,1.138,64.88,5.676,-107.544,-4.109,7.185,-33.81
 14:26:20.826,eb:33:2e:f9:57:b5, 2085-97-65 02:168:250:2491,0.229,-0.655,1.234,65.857,29.419,-101.807,-3.51,7.262,-34.865
 14:26:20.826,eb:33:2e:f9:57:b5, 2085-97-36 01:150:252:2708,0.089,-0.6,1.231,69.214,56.213,-89.905,-2.895,7.663,-35.865
 14:26:20.852,eb:33:2e:f9:57:b5, 2085-97-109 00:97:254:3014,0.044,-0.291,1.423,84.351,68.298,-82.092,-2.186,8.245,-36.749
 14:26:20.852,eb:33:2e:f9:57:b5, 2085-97-165 00:152:255:2915,0.088,-0.135,1.446,102.295,64.27,-82.825,-1.307,8.877,-37.628
 14:26:20.852,eb:33:2e:f9:57:b5, 2085-97-117 00:117:00:2675,0.047,0.012,1.355,117.615,71.35,-88.379,-0.286,9.509,-38.502
 14:26:20.852,eb:33:2e:f9:57:b5, 2085-97-149 00:102:00:2685,0.089,0.082,1.292,132.324,66.162,-91.125,0.884,10.217,-39.441
 14:26:20.942,eb:33:2e:f9:57:b5, 2085-97-135 00:26:01:2472,0.104,0.043,1.25,139.893,63.538,-90.637,2.142,10.838,-40.347
 14:26:20.942,eb:33:2e:f9:57:b5, 2085-97-174 00:207:01:2296,0.084,0.166,1.184,145.569,73.792,-85.754,3.466,11.558,-41.232
 14:26:20.942,eb:33:2e:f9:57:b5, 2085-97-21 01:132:01:1857,0.098,0.279,1.048,152.771,57.495,-89.355,4.845,12.277,-42.067
 14:26:20.942,eb:33:2e:f9:57:b5, 2085-97-45 00:232:255:1117,-0.25,0.094,0.691,151.428,38.94,-99.06,6.251,12.816,-43
 14:26:20.944,eb:33:2e:f9:57:b5, 2085-97-56 252:106:252:739,-0.792,-0.165,0.394,135.803,26.062,-106.079,7.509,13.244,-44.006
 14:26:20.944,eb:33:2e:f9:57:b5, 2085-97-206 246:255:247:1098,-1.465,-0.722,0.409,118.896,29.907,-93.445,8.63,13.601,-45.022
 14:26:20.944,eb:33:2e:f9:57:b5, 2085-97-21 242:230:246:1206,-1.62,-1.205,0.617,90.515,89.172,-45.105,9.564,14.255,-45.643
 14:26:20.944,eb:33:2e:f9:57:b5, 2085-97-189 246:225:254:-592,-0.75,-0.721,0.281,68.359,95.276,20.569,10.344,15.342,-45.577
 14:26:20.971,eb:33:2e:f9:57:b5, 2085-97-174 251:19:03:-854,-0.476,0.292,-0.63,52.063,-60.547,37.231,11.019,15.458,-45.203
 14:26:20.971,eb:33:2e:f9:57:b5, 2085-97-08 253:152:01:1157,-0.048,0.266,0.142,23.132,-173.157,42.664,11.415,14.062,-45.071
 14:26:20.971,eb:33:2e:f9:57:b5, 2085-97-193 02:127:03:1795,0.634,0.252,0.765,5.554,-175.964,42.419,11.552,12.184,-44.967
 14:26:20.971,eb:33:2e:f9:57:b5, 2085-97-195 05:197:03:3485,0.721,0.521,1.229,-1.953,-122.62,17.7,11.569,10.629,-44.967
 14:26:21.001,eb:33:2e:f9:57:b5, 2085-97-87 05:143:02:4139,0.491,0.367,2.045,-2.625,4.15,-5.31,11.525,10.069,-45.027
 14:26:21.001,eb:33:2e:f9:57:b5, 2085-97-244 01:77:01:3613,-0.002,0.268,1.827,12.085,111.267,-23.254,11.563,10.761,-45.077
 14:26:21.001,eb:33:2e:f9:57:b5, 2085-97-00 254:249:255:3014,-0.508,0.062,1.668,31.738,146.973,-26.245,11.783,12.134,-45.093
 14:26:21.001,eb:33:2e:f9:57:b5, 2085-97-27 250:65:254:2353,-0.872,-0.108,1.299,55.42,115.356,-17.761,12.233,13.502,-45.077
 14:26:21.093,eb:33:2e:f9:57:b5, 2085-97-186 248:06:254:1710,-0.891,-0.271,1.011,79.224,47.791,2.747,12.936,14.288,-44.989
 14:26:21.093,eb:33:2e:f9:57:b5, 2085-97-117 249:254:254:1402,-0.695,-0.185,0.704,95.947,-33.264,24.353,13.854,14.299,-44.852
