Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 15:41:04.677,eb:33:2e:f9:57:b5, 2085-97-216 01:172:255:2017,0.225,-0.04,0.979,0.61,1.099,5.31,-1.879,-12.085,111.341
 15:41:04.677,eb:33:2e:f9:57:b5, 2085-97-201 01:170:255:2006,0.221,-0.039,0.978,0.916,3.967,6.47,-1.884,-12.052,111.385
 15:41:04.677,eb:33:2e:f9:57:b5, 2085-97-187 01:168:255:2005,0.216,-0.044,0.983,1.404,6.409,7.507,-1.89,-11.997,111.522
 15:41:04.677,eb:33:2e:f9:57:b5, 2085-97-185 01:169:255:2009,0.216,-0.041,0.978,1.77,7.874,8.484,-1.884,-11.92,111.588
 15:41:04.706,eb:33:2e:f9:57:b5, 2085-97-190 01:173:255:2006,0.214,-0.042,0.979,2.197,9.583,9.521,-1.884,-11.832,111.742
 15:41:04.706,eb:33:2e:f9:57:b5, 2085-97-182 01:178:255:1999,0.215,-0.041,0.981,2.441,11.536,10.01,-1.879,-11.722,111.824
 15:41:04.707,eb:33:2e:f9:57:b5, 2085-97-185 01:186:255:2003,0.212,-0.036,0.978,2.502,11.902,9.888,-1.873,-11.602,111.984
 15:41:04.707,eb:33:2e:f9:57:b5, 2085-113-58 00:241:225:-2580,0.201,-0.034,0.977,2.319,13.245,9.766,-1.868,-11.47,112.066
 15:41:04.707,eb:33:2e:f9:57:b5, 2085-97-145 01:171:255:2000,0.197,-0.037,0.979,2.258,13.672,9.705,-1.868,-11.404,112.115
 15:41:04.767,eb:33:2e:f9:57:b5, 2085-97-138 01:156:255:2021,0.183,-0.044,0.979,2.625,12.817,9.277,-1.857,-11.266,112.269
 15:41:04.767,eb:33:2e:f9:57:b5, 2085-97-129 01:178:255:2002,0.185,-0.049,0.984,3.54,14.16,10.559,-1.846,-11.124,112.352
 15:41:04.767,eb:33:2e:f9:57:b5, 2085-97-117 01:175:255:2003,0.186,-0.035,0.981,3.54,12.939,9.949,-1.829,-10.986,112.516
 15:41:04.767,eb:33:2e:f9:57:b5, 2085-97-148 01:170:255:2016,0.201,-0.043,0.981,3.967,11.353,9.521,-1.807,-10.865,112.599
 15:41:04.795,eb:33:2e:f9:57:b5, 2085-97-139 01:189:255:2014,0.187,-0.036,0.987,4.15,13.611,9.705,-1.785,-10.739,112.753
 15:41:04.795,eb:33:2e:f9:57:b5, 2085-97-130 01:181:255:2009,0.196,-0.034,0.979,3.967,13.184,8.972,-1.758,-10.602,112.83
 15:41:04.795,eb:33:2e:f9:57:b5, 2085-97-151 01:178:255:2023,0.196,-0.038,0.985,4.211,12.878,7.996,-1.73,-10.47,112.978
 15:41:04.795,eb:33:2e:f9:57:b5, 2085-97-136 01:192:255:2011,0.181,-0.035,0.985,4.395,14.587,7.446,-1.703,-10.327,113.038
 15:41:04.826,eb:33:2e:f9:57:b5, 2085-97-102 01:199:255:2005,0.18,-0.028,0.982,4.15,14.832,7.263,-1.67,-10.179,113.17
 15:41:04.826,eb:33:2e:f9:57:b5, 2085-97-136 01:187:255:2016,0.195,-0.033,0.98,3.967,11.963,5.798,-1.642,-10.047,113.214
 15:41:04.826,eb:33:2e:f9:57:b5, 2085-97-136 01:210:255:2011,0.183,-0.027,0.986,3.906,13.306,5.371,-1.609,-9.915,113.329
 15:41:04.826,eb:33:2e:f9:57:b5, 2085-97-94 01:169:255:2026,0.171,-0.032,0.983,3.601,12.817,3.784,-1.577,-9.783,113.357
 15:41:04.886,eb:33:2e:f9:57:b5, 2085-97-108 01:175:255:2028,0.181,-0.042,0.989,4.639,12.085,2.869,-1.544,-9.657,113.45
 15:41:04.886,eb:33:2e:f9:57:b5, 2085-97-105 01:162:255:2043,0.169,-0.04,0.995,5.554,12.268,1.648,-1.494,-9.542,113.456
 15:41:04.886,eb:33:2e:f9:57:b5, 2085-97-75 01:174:255:2037,0.16,-0.044,0.997,6.958,13.611,0.977,-1.428,-9.41,113.527
 15:41:04.886,eb:33:2e:f9:57:b5, 2085-97-81 01:172:255:2043,0.173,-0.04,0.99,8.057,11.78,-0.488,-1.351,-9.278,113.511
 15:41:04.917,eb:33:2e:f9:57:b5, 2085-97-85 01:191:255:2036,0.154,-0.034,0.994,9.155,11.23,-2.258,-1.263,-9.168,113.555
 15:41:04.917,eb:33:2e:f9:57:b5, 2085-97-70 01:177:255:2035,0.183,-0.032,0.993,9.949,9.888,-3.601,-1.159,-9.058,113.511
 15:41:04.917,eb:33:2e:f9:57:b5, 2085-97-123 01:191:255:2062,0.163,-0.036,1.005,11.719,6.47,-6.042,-1.044,-8.987,113.516
 15:41:04.917,eb:33:2e:f9:57:b5, 2085-97-64 01:188:255:2044,0.17,-0.028,0.994,13.306,7.08,-6.958,-0.906,-8.91,113.434
 15:41:04.976,eb:33:2e:f9:57:b5, 2085-97-115 01:221:255:2062,0.177,-0.027,1.003,14.954,3.479,-8.911,-0.753,-8.866,113.417
 15:41:04.976,eb:33:2e:f9:57:b5, 2085-97-96 01:209:255:2087,0.17,-0.016,0.998,16.052,2.441,-11.292,-0.577,-8.839,113.297
 15:41:04.976,eb:33:2e:f9:57:b5, 2085-97-95 01:220:255:2099,0.184,-0.018,1.008,17.822,0.122,-14.099,-0.39,-8.828,113.225
 15:41:04.976,eb:33:2e:f9:57:b5, 2085-97-142 01:235:255:2122,0.198,-0.01,1.009,19.531,-1.526,-17.578,-0.176,-8.839,113.049
 15:41:05.006,eb:33:2e:f9:57:b5, 2085-97-179 01:229:255:2139,0.22,-0.02,1.053,22.095,-2.014,-21.179,0.066,-8.866,112.906
 15:41:05.006,eb:33:2e:f9:57:b5, 2085-97-152 01:226:255:2246,0.206,-0.003,1.058,25.818,-2.93,-25.513,0.335,-8.888,112.654
 15:41:05.006,eb:33:2e:f9:57:b5, 2085-97-165 01:00:00:2251,0.243,-0.012,1.075,31.494,-5.371,-30.212,0.665,-8.921,112.434
 15:41:05.006,eb:33:2e:f9:57:b5, 2085-97-224 01:42:00:2342,0.195,0,1.098,36.438,-3.174,-32.959,1.055,-8.97,112.083
 15:41:05.036,eb:33:2e:f9:57:b5, 2085-97-96 01:46:00:2166,0.205,0.019,1.081,40.1,4.333,-37.781,1.494,-8.915,111.791
 15:41:05.036,eb:33:2e:f9:57:b5, 2085-97-173 01:239:255:2415,0.244,0.002,1.094,43.152,-4.944,-44.434,1.978,-8.921,111.352
 15:41:05.036,eb:33:2e:f9:57:b5, 2085-97-249 01:242:255:2444,0.268,0.005,1.175,46.997,10.01,-47.302,2.505,-8.877,110.951
 15:41:05.036,eb:33:2e:f9:57:b5, 2085-97-05 02:183:255:2473,0.234,-0.004,1.163,51.819,20.142,-45.044,3.065,-8.685,110.468
 15:41:05.066,eb:33:2e:f9:57:b5, 2085-97-227 01:182:255:2441,0.269,-0.04,1.202,59.814,34.79,-33.203,3.68,-8.388,110.143
 15:41:05.066,eb:33:2e:f9:57:b5, 2085-97-90 02:115:255:2878,0.317,-0.042,1.278,71.716,27.466,-15.747,4.378,-8.064,109.913
 15:41:05.066,eb:33:2e:f9:57:b5, 2085-97-185 02:166:255:2835,0.414,-0.067,1.438,81.97,53.589,2.808,5.153,-7.657,109.951
 15:41:05.066,eb:33:2e:f9:57:b5, 2085-97-46 04:126:00:2837,0.591,0.025,1.37,92.041,56.152,4.333,6.021,-7.097,110.045
 15:41:05.127,eb:33:2e:f9:57:b5, 2085-97-111 04:100:00:2901,0.456,0.055,1.406,97.229,84.167,0.427,6.96,-6.432,110.187
 15:41:05.127,eb:33:2e:f9:57:b5, 2085-97-210 02:86:00:2949,0.32,0.054,1.416,104.736,140.076,6.165,7.954,-5.262,110.358
 15:41:05.127,eb:33:2e:f9:57:b5, 2085-97-17 03:00:00:3223,0.456,0.015,1.491,112.854,143.25,-0.488,9.025,-3.834,110.665
 15:41:05.127,eb:33:2e:f9:57:b5, 2085-97-233 03:115:00:3275,0.485,0,1.635,124.878,162.476,-8.24,10.206,-2.362,110.819
 15:41:05.156,eb:33:2e:f9:57:b5, 2085-97-225 03:244:00:3046,0.518,0.114,1.537,138.062,191.04,-8.423,11.53,-0.549,111.149
 15:41:05.156,eb:33:2e:f9:57:b5, 2085-97-70 04:190:00:3220,0.463,0.127,1.512,145.447,174.622,-26.794,12.958,1.263,111.33
 15:41:05.156,eb:33:2e:f9:57:b5, 2085-97-89 02:96:00:3242,0.2,0.098,1.64,155.518,191.284,-33.264,14.469,3.093,111.5
 15:41:05.156,eb:33:2e:f9:57:b5, 2085-97-26 02:239:255:3215,0.402,0.014,1.504,169.8,162.781,-47.607,16.106,4.96,111.572
 15:41:05.187,eb:33:2e:f9:57:b5, 2085-97-102 04:12:00:3577,0.645,-0.004,1.701,179.199,147.705,-63.721,17.847,6.537,111.489
 15:41:05.187,eb:33:2e:f9:57:b5, 2085-97-132 05:37:02:3371,0.684,0.106,1.722,189.819,176.697,-72.327,19.682,8.295,111.33
 15:41:05.187,eb:33:2e:f9:57:b5, 2085-97-217 04:58:05:3053,0.514,0.43,1.552,197.388,182.007,-90.698,21.594,10.294,111.253
 15:41:05.187,eb:33:2e:f9:57:b5, 2085-97-176 03:84:07:2717,0.432,0.846,1.428,205.322,145.447,-106.14,23.555,12.217,110.929
 15:41:05.247,eb:33:2e:f9:57:b5, 2085-97-166 03:100:09:2458,0.542,1.118,1.224,209.656,67.81,-107.788,25.516,13.601,110.396
 15:41:05.247,eb:33:2e:f9:57:b5, 2085-97-121 05:181:07:3080,0.81,1.17,1.294,178.711,-7.385,-120.728,27.235,14.282,109.391
 15:41:05.247,eb:33:2e:f9:57:b5, 2085-97-04 07:27:02:3524,0.834,0.65,1.72,131.531,40.771,-137.756,28.449,14.941,108.276
 15:41:05.247,eb:33:2e:f9:57:b5, 2085-97-232 05:46:255:2319,0.64,-0.029,1.478,102.356,171.997,-141.235,29.394,16.633,107.518
 15:41:05.276,eb:33:2e:f9:57:b5, 2085-97-199 04:63:252:1460,0.604,-0.228,0.859,75.439,196.045,-140.808,30.19,19.017,107.292
 15:41:05.276,eb:33:2e:f9:57:b5, 2085-97-228 00:201:242:2135,-0.62,-1.244,0.779,60.364,172.974,-126.099,30.723,21.275,106.968
 15:41:05.276,eb:33:2e:f9:57:b5, 2085-97-00 251:242:252:-1564,-0.277,-0.79,0.236,97.534,263.611,38.94,31.954,23.445,107.957
 15:41:05.276,eb:33:2e:f9:57:b5, 2085-113-58 00:95:221:-5835,0.201,-0.491,-0.381,70.007,-66.101,81.299,33.201,23.719,108.995
 15:41:05.306,eb:33:2e:f9:57:b5, 2085-97-09 04:45:250:1308,0.523,-0.682,0.421,61.096,-58.472,108.337,33.613,23.159,109.281
 15:41:05.306,eb:33:2e:f9:57:b5, 2085-97-226 03:130:251:1132,0.509,-0.654,0.561,52.063,5.676,160.034,34.629,22.269,110.451
 15:41:05.306,eb:33:2e:f9:57:b5, 2085-97-120 04:55:252:1304,0.583,-0.515,0.629,51.819,-15.808,173.218,35.678,21.242,111.945
 15:41:05.306,eb:33:2e:f9:57:b5, 2085-97-132 04:15:253:728,0.535,-0.423,0.511,57.068,-2.747,185.303,36.755,20.105,113.417
 15:41:05.367,eb:33:2e:f9:57:b5, 2085-97-59 04:233:253:315,0.525,-0.311,0.228,55.176,-24.841,183.899,37.831,18.891,114.977
 15:41:05.367,eb:33:2e:f9:57:b5, 2085-97-52 04:41:254:298,0.511,-0.238,0.137,42.114,-59.021,168.945,38.683,17.435,116.12
 15:41:05.367,eb:33:2e:f9:57:b5, 2085-97-232 03:59:254:361,0.483,-0.226,0.153,19.653,-78.308,152.771,39.232,15.886,117.026
 15:41:05.367,eb:33:2e:f9:57:b5, 2085-97-193 03:87:254:497,0.453,-0.217,0.201,-8.606,-93.079,132.874,39.419,14.299,117.581
 15:41:05.395,eb:33:2e:f9:57:b5, 2085-97-123 03:130:254:651,0.42,-0.195,0.28,-37.415,-101.013,111.267,39.254,12.783,117.971
 15:41:05.395,eb:33:2e:f9:57:b5, 2085-97-63 03:134:254:794,0.387,-0.181,0.355,-63.538,-110.229,86.975,38.743,11.327,118.059
 15:41:05.395,eb:33:2e:f9:57:b5, 2085-97-249 02:105:254:888,0.352,-0.19,0.415,-86.67,-117.92,62.866,37.952,9.97,117.982
 15:41:05.395,eb:33:2e:f9:57:b5, 2085-97-177 02:49:254:983,0.318,-0.213,0.461,-108.521,-127.319,39.124,36.898,8.674,117.625
 15:41:05.425,eb:33:2e:f9:57:b5, 2085-97-106 02:246:253:1073,0.29,-0.241,0.501,-129.517,-137.207,17.7,35.612,7.443,117.109
 15:41:05.425,eb:33:2e:f9:57:b5, 2085-97-61 02:177:253:1241,0.267,-0.27,0.56,-149.17,-149.231,-0.977,34.107,6.207,116.345
 15:41:05.425,eb:33:2e:f9:57:b5, 2085-97-05 02:101:253:1444,0.236,-0.31,0.658,-166.016,-157.471,-15.381,32.421,4.966,115.472
 15:41:05.425,eb:33:2e:f9:57:b5, 2085-97-210 01:41:253:1645,0.215,-0.342,0.753,-179.81,-164.185,-26.367,30.591,3.686,114.45
 15:41:05.487,eb:33:2e:f9:57:b5, 2085-97-165 01:255:252:1875,0.201,-0.365,0.866,-191.223,-168.884,-33.936,28.669,2.384,113.412
 15:41:05.487,eb:33:2e:f9:57:b5, 2085-97-147 01:212:252:2098,0.19,-0.385,0.967,-197.876,-172.485,-37.109,26.669,1.022,112.313
 15:41:05.487,eb:33:2e:f9:57:b5, 2085-97-107 01:180:252:2270,0.164,-0.405,1.072,-201.904,-172.058,-35.889,24.653,-0.374,111.292
 15:41:05.487,eb:33:2e:f9:57:b5, 2085-97-71 01:162:252:2368,0.163,-0.419,1.133,-205.078,-172.974,-30.518,22.621,-1.835,110.308
 15:41:05.545,eb:33:2e:f9:57:b5, 2085-97-91 01:165:252:2521,0.178,-0.42,1.188,-208.313,-177.307,-21.545,20.588,-3.373,109.479
 15:41:05.545,eb:33:2e:f9:57:b5, 2085-97-149 01:214:252:2742,0.208,-0.401,1.284,-209.961,-182.983,-10.437,18.534,-5.037,108.743
 15:41:05.545,eb:33:2e:f9:57:b5, 2085-97-205 01:12:253:3037,0.242,-0.385,1.417,-208.496,-186.829,2.38,16.496,-6.795,108.21
