Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°)
 14:37:57.711,eb:33:2e:f9:57:b5, 2085-97-250 255:31:00:2047,-0.003,0.014,1,0.977,0.977,-0.61,-0.022,0.439,-100.822
 14:37:57.711,eb:33:2e:f9:57:b5, 2085-97-248 255:31:00:2045,-0.004,0.015,1,1.038,1.16,-0.732,-0.011,0.45,-100.827
 14:37:57.711,eb:33:2e:f9:57:b5, 2085-97-246 255:31:00:2046,-0.006,0.015,1,1.099,1.221,-0.793,0,0.461,-100.838
 14:37:57.711,eb:33:2e:f9:57:b5, 2085-97-247 255:31:00:2048,-0.004,0.014,1,1.099,1.221,-0.854,0.011,0.478,-100.844
 14:37:57.741,eb:33:2e:f9:57:b5, 2085-97-243 255:31:00:2045,-0.004,0.015,1,1.099,1.526,-0.977,0.022,0.489,-100.854
 14:37:57.741,eb:33:2e:f9:57:b5, 2085-97-251 255:33:00:2053,0,0.016,1.001,1.038,1.648,-1.099,0.033,0.505,-100.865
 14:37:57.741,eb:33:2e:f9:57:b5, 2085-97-255 255:36:00:2057,-0.001,0.018,1.005,0.977,2.258,-1.343,0.044,0.527,-100.876
 14:37:57.741,eb:33:2e:f9:57:b5, 2085-97-250 255:36:00:2053,-0.006,0.018,1.004,0.977,2.93,-1.648,0.055,0.555,-100.893
 14:37:57.773,eb:33:2e:f9:57:b5, 2085-97-239 255:37:00:2040,-0.01,0.017,1,0.916,2.991,-1.892,0.06,0.588,-100.909
 14:37:57.773,eb:33:2e:f9:57:b5, 2085-97-235 255:37:00:2038,-0.011,0.019,0.996,0.732,2.563,-2.258,0.071,0.615,-100.926
 14:37:57.773,eb:33:2e:f9:57:b5, 2085-97-231 255:31:00:2036,-0.01,0.016,0.995,0.671,1.892,-2.258,0.077,0.637,-100.953
 14:37:57.773,eb:33:2e:f9:57:b5, 2085-97-237 255:30:00:2044,-0.008,0.014,0.998,0.793,1.404,-1.892,0.088,0.654,-100.97
 14:37:57.832,eb:33:2e:f9:57:b5, 2085-97-244 255:26:00:2053,-0.005,0.014,1,0.977,1.099,-1.709,0.093,0.67,-100.992
 14:37:57.832,eb:33:2e:f9:57:b5, 2085-97-247 255:31:00:2056,-0.003,0.014,1.003,1.16,1.221,-1.404,0.104,0.681,-101.003
 14:37:57.832,eb:33:2e:f9:57:b5, 2085-97-249 255:27:00:2064,-0.004,0.015,1.005,1.404,1.526,-1.221,0.121,0.698,-101.019
 14:37:57.832,eb:33:2e:f9:57:b5, 2085-97-244 255:31:00:2055,-0.006,0.016,1.005,1.648,2.075,-1.16,0.137,0.714,-101.03
 14:37:57.863,eb:33:2e:f9:57:b5, 2085-97-243 255:36:00:2052,-0.007,0.017,1.002,1.77,2.38,-1.221,0.154,0.742,-101.041
 14:37:57.863,eb:33:2e:f9:57:b5, 2085-97-238 255:36:00:2043,-0.009,0.019,1,2.014,2.563,-1.221,0.17,0.764,-101.052
 14:37:57.863,eb:33:2e:f9:57:b5, 2085-97-242 255:37:00:2030,-0.013,0.017,0.996,2.625,1.709,-1.221,0.198,0.791,-101.063
 14:37:57.863,eb:33:2e:f9:57:b5, 2085-97-231 255:39:00:2028,-0.016,0.017,0.995,3.479,0,-0.977,0.225,0.797,-101.074
 14:37:57.891,eb:33:2e:f9:57:b5, 2085-97-228 255:43:00:2030,-0.014,0.02,0.992,3.723,-0.977,-0.793,0.264,0.791,-101.085
 14:37:57.891,eb:33:2e:f9:57:b5, 2085-97-224 255:42:00:2035,-0.019,0.021,0.992,3.723,-1.709,-0.671,0.302,0.78,-101.091
 14:37:57.891,eb:33:2e:f9:57:b5, 2085-113-81 00:81:81:317,-0.018,0.021,0.99,3.296,-1.953,-0.671,0.341,0.758,-101.096
 14:37:57.891,eb:33:2e:f9:57:b5, 2085-97-230 255:45:00:2030,-0.013,0.021,0.992,3.235,-2.136,-0.671,0.357,0.747,-101.102
 14:37:57.952,eb:33:2e:f9:57:b5, 2085-97-226 255:45:00:2039,-0.012,0.023,0.994,3.052,-2.38,-0.671,0.385,0.725,-101.107
 14:37:57.952,eb:33:2e:f9:57:b5, 2085-97-230 255:51:00:2028,-0.012,0.025,0.991,2.747,-2.075,-0.793,0.417,0.703,-101.118
