Fold,Clase,Precision,Recall,F1
1,Caminar,0.9834710743801653,0.967479674796748,0.9754098360655737
1,Correr,0.9758064516129032,0.983739837398374,0.979757085020243
1,Quieto,0.992,1.0,0.9959839357429718
2,Caminar,0.9758064516129032,0.9758064516129032,0.9758064516129032
2,Correr,0.9836065573770492,0.975609756097561,0.9795918367346939
2,Quieto,0.9919354838709677,1.0,0.9959514170040485
3,Caminar,0.968,0.983739837398374,0.9758064516129032
3,Correr,0.9917355371900827,0.967741935483871,0.9795918367346939
3,Quieto,0.9919354838709677,1.0,0.9959514170040485
4,Caminar,0.9609375,1.0,0.9800796812749004
4,Correr,1.0,0.9512195121951219,0.975
4,Quieto,0.9919354838709677,1.0,0.9959514170040485
5,Caminar,0.991304347826087,0.926829268292683,0.957983193277311
5,Correr,0.953125,0.991869918699187,0.9721115537848606
5,Quieto,0.9761904761904762,1.0,0.9879518072289156
Promedio,Caminar,0.9759038747638311,0.9707710464201416,0.9730171227687183
Promedio,Correr,0.980854709236007,0.9740361919748229,0.9772104624548982
Promedio,Quieto,0.9887993855606758,1.0,0.9943579987968066
