Fold,Clase,Precision,Recall,F1
1,Caminar,0.9754098360655737,0.967479674796748,0.9714285714285714
1,Correr,0.975609756097561,0.975609756097561,0.975609756097561
1,Quieto,0.992,1.0,0.9959839357429718
2,Caminar,0.9834710743801653,0.9596774193548387,0.9714285714285714
2,Correr,0.967741935483871,0.975609756097561,0.97165991902834
2,Quieto,0.984,1.0,0.9919354838709677
3,Caminar,0.9603174603174603,0.983739837398374,0.9718875502008032
3,Correr,0.9916666666666667,0.9596774193548387,0.9754098360655737
3,Quieto,0.9919354838709677,1.0,0.9959514170040485
4,Caminar,0.9758064516129032,0.983739837398374,0.979757085020243
4,Correr,0.9834710743801653,0.967479674796748,0.9754098360655737
4,Quieto,0.9919354838709677,1.0,0.9959514170040485
5,Caminar,0.9830508474576272,0.943089430894309,0.9626556016597511
5,Correr,0.968,0.983739837398374,0.9758064516129032
5,Quieto,0.9761904761904762,1.0,0.9879518072289156
Promedio,Caminar,0.9756111339667459,0.9675452399685287,0.9714314759475879
Promedio,Correr,0.9772978865256527,0.9724232887490165,0.9747791597739903
Promedio,Quieto,0.9872122887864823,1.0,0.9935548121701905
